,index,ID,Variables,Original scale,Recoded “positive” scale,list_answer_options,applies_to
44,6,Q43-45,Changes in our way of life that might take place in the near future,1=Good 2=Don’t mind 3=Bad,3=Good 2=Don’t mind 1=Bad,"['1=Good ', '2=Don’t mind ', '3=Bad']",Q45
45,7,Q46,Happiness,1=Very happy 2=Rather happy 3=Not very happy 4=Not at all happy,4=Very happy 3=Rather happy 2=Not very happy 1=Not at all happy,"['1=Very happy ', '2=Rather happy ', '3=Not very happy ', '4=Not at all happy']",Q46
46,8,Q47,Health,1=Very good 2=Good 3=Fair 4=Poor 5=Very poor,5=Very good 4=Good 3=Fair 2=Poor 1=Very poor,"['1=Very good ', '2=Good ', '3=Fair ', '4=Poor ', '5=Very poor']",Q47
47,9,Q48,Control over your life,10-points scale,No changes,"['10.- A great deal ', '9.- ', '9 ', '8.- ', '8 ', '7.- ', '7 ', '6.- ', '6 ', '5.- ', '5 ', '4.- ', '4 ', '3.- ', '3 ', '2.- ', '2 ', '1.- None at all ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Unknown']",Q48
48,10,Q49,Life satisfaction,10-points scale,No changes,"['10.- Completely satisfied ', '9.- ', '9 ', '8.- ', '8 ', '7.- ', '7 ', '6.- ', '6 ', '5.- ', '5 ', '4.- ', '4 ', '3.- ', '3 ', '2.- ', '2 ', '1.- Completely dissatisfied     ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available']",Q49
49,11,Q50,Financial satisfaction,10-points scale,No changes,"['10.- Satisfied ', '9.- ', '9 ', '8.- ', '8 ', '7.- ', '7 ', '6.- ', '6 ', '5.- ', '5 ', '4.- ', '4 ', '3.- ', '3 ', '2.- ', '2 ', '1.- Dissatisfied ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Unknown']",Q50
50,12,Q51-55,Lived poverty index,1=Often 2=Sometimes 3=Rarely 4=Never,4=Often 3=Sometimes 2=Rarely 1=Never,"['1=Often ', '2=Sometimes ', '3=Rarely ', '4=Never']",Q51
51,12,Q51-55,Lived poverty index,1=Often 2=Sometimes 3=Rarely 4=Never,4=Often 3=Sometimes 2=Rarely 1=Never,"['1=Often ', '2=Sometimes ', '3=Rarely ', '4=Never']",Q52
52,12,Q51-55,Lived poverty index,1=Often 2=Sometimes 3=Rarely 4=Never,4=Often 3=Sometimes 2=Rarely 1=Never,"['1=Often ', '2=Sometimes ', '3=Rarely ', '4=Never']",Q53
53,12,Q51-55,Lived poverty index,1=Often 2=Sometimes 3=Rarely 4=Never,4=Often 3=Sometimes 2=Rarely 1=Never,"['1=Often ', '2=Sometimes ', '3=Rarely ', '4=Never']",Q54
54,12,Q51-55,Lived poverty index,1=Often 2=Sometimes 3=Rarely 4=Never,4=Often 3=Sometimes 2=Rarely 1=Never,"['1=Often ', '2=Sometimes ', '3=Rarely ', '4=Never']",Q55
55,13,Q56,Life comparing to your parents,1=Better off 2=Worse off 3=Or about the same,3=Better off 1=Worse off 2=Or about the same,"['1=Better off ', '2=Worse off ', '3=Or about the same']",Q56
56,14,Q57,Generalized trust,1=Most people can be trusted 2=Can’t be too careful,1=Can’t be too careful 2=Most people can be trusted,"['1=Most people can be trusted ', '2=Can’t be too careful']",Q57
57,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q58
58,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q59
59,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q60
60,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q61
61,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q62
62,15,Q58-63,Interpersonal trust (family etc.),1=Trust completely 2=Trust somewhat 3=Do not trust very much 4=Do not trust at all,4=Trust completely 3=Trust somewhat 2=Do not trust very much 1=Do not trust at all,"['1=Trust completely ', '2=Trust somewhat ', '3=Do not trust very much ', '4=Do not trust at all']",Q63
63,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q64
64,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q65
65,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q66
66,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q67
67,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q68
68,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q69
69,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q70
70,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q71
71,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q72
72,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q73
73,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q74
74,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q75
75,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q76
76,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q77
77,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q78
78,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q79
79,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q80
80,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q81
81,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q82
82,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q83
83,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q84
84,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q85
85,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q86
86,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q87
87,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q88
88,16,Q64-89,Institutional trust,1=A great deal 2=Quite a lot 3=Not very much 4=None at all,4=A great deal 3=Quite a lot 2=Not very much 1=None at all,"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all']",Q89
89,17,Q90,International organizations being effective or democratic,1=Effective 2 3 4 5 6 7 8 9 10=Democratic,No changes,"['1=Effective ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Democratic']",Q90
90,18,Q91-93,Knowledge questions about international organizations,3 answer options,No changes,"['1.- France ', '2.- China ', '3.- India ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available']",Q91
91,18,Q91-93,Knowledge questions about international organizations,3 answer options,No changes,"['1.- Washington DC ', '2.- London ', '3.- Geneva ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available    ']",Q92
92,18,Q91-93,Knowledge questions about international organizations,3 answer options,No changes,"['1.- Climate change ', '2.- Human rights ', '3.- Destruction of historic monuments ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available']",Q93
93,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q94
94,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q95
95,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q96
96,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q97
97,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q98
98,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q99
99,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q100
100,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q101
101,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q102
102,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q103
103,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q104
104,19,Q94- 105,Organizational membership,2=Active member 1=Inactive member 0=Don’t belong,No changes,"['2=Active member ', '1=Inactive member ', '0=Don’t belong']",Q105
105,20,Q106- 110,"Economic values (equality, income distribution etc.)",1=Expression 1 2 3 4 5 6 7 8 9 10=Expression 2,No changes,"['1=Expression ', '1 ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Expression ', '2']",Q106
106,20,Q106- 110,"Economic values (equality, income distribution etc.)",1=Expression 1 2 3 4 5 6 7 8 9 10=Expression 2,No changes,"['1=Expression ', '1 ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Expression ', '2']",Q107
107,20,Q106- 110,"Economic values (equality, income distribution etc.)",1=Expression 1 2 3 4 5 6 7 8 9 10=Expression 2,No changes,"['1=Expression ', '1 ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Expression ', '2']",Q108
108,20,Q106- 110,"Economic values (equality, income distribution etc.)",1=Expression 1 2 3 4 5 6 7 8 9 10=Expression 2,No changes,"['1=Expression ', '1 ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Expression ', '2']",Q109
109,20,Q106- 110,"Economic values (equality, income distribution etc.)",1=Expression 1 2 3 4 5 6 7 8 9 10=Expression 2,No changes,"['1=Expression ', '1 ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Expression ', '2']",Q110
110,21,Q111,Environment vs economic growth,3 answer options,No changes,"['1.- A: Protect environment ', '2.- B: Economic growth ', '3.- Other answer ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available      Perceptions of Corruption (']",Q111
111,22,Q112,Corruption perceptions,1=No corruption 2 3 4 5 6 7 8 9 10=Abundant corruption,No changes,"['1=No corruption ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Abundant corruption']",Q112
112,23,Q113- 117,Corruption of institutions and groups,1=None of them 2=Few of them 3=Most of them 4=All of them,No changes,"['1=None of them ', '2=Few of them ', '3=Most of them ', '4=All of them']",Q113
113,23,Q113- 117,Corruption of institutions and groups,1=None of them 2=Few of them 3=Most of them 4=All of them,No changes,"['1=None of them ', '2=Few of them ', '3=Most of them ', '4=All of them']",Q114
114,23,Q113- 117,Corruption of institutions and groups,1=None of them 2=Few of them 3=Most of them 4=All of them,No changes,"['1=None of them ', '2=Few of them ', '3=Most of them ', '4=All of them']",Q115
115,23,Q113- 117,Corruption of institutions and groups,1=None of them 2=Few of them 3=Most of them 4=All of them,No changes,"['1=None of them ', '2=Few of them ', '3=Most of them ', '4=All of them']",Q116
116,23,Q113- 117,Corruption of institutions and groups,1=None of them 2=Few of them 3=Most of them 4=All of them,No changes,"['1=None of them ', '2=Few of them ', '3=Most of them ', '4=All of them']",Q117
117,24,Q118,Bribery frequency,1=Never 2=Rarely 3=Frequently 4=Always,No changes,"['1=Never ', '2=Rarely ', '3=Frequently ', '4=Always']",Q118
118,25,Q119,Women are less corruption than men,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q119
119,26,Q120,Accountability risk,1=No risk at all 2 3 4 5 6 7 8 9 10=Very high risk,No changes,"['1=No risk at all ', '2 ', '3 ', '4 ', '5 ', '6 ', '7 ', '8 ', '9 ', '10=Very high risk']",Q120
120,27,Q121,Impact of migration on the country,"5=Very good 4=Quite good 3=Neither good, nor bad 2=Quite bad 1=Very bad",No changes,"['5=Very good ', '4=Quite good ', '3=Neither good, nor bad ', '2=Quite bad ', '1=Very bad']",Q121
